Titel;Links
Photoshop sei Dank: Über 50 lustige Tier-Hybride;https://www.watson.ch/spass/cute%20news/726403066-photoshop-sei-dank-ueber-50-lustige-bilder-von-tier-hybriden
31 Dinge, die so abstrakt gross sind, dass du dich wie Alice im Wunderland fühlst;https://www.watson.ch/spass/science%20porn/678754702-31-faszinierende-bilder-von-uebertrieben-grossen-dingen
Hallo! Darfst klicken! Bin frisch desinfiziert! LG, PICDUMP;https://www.watson.ch/spass/picdump/140164352-picdump-313-hier-kommen-die-lustigsten-memes-bilder-aus-dem-internet
15 lustige Bilder, die dir in Zeiten des Coronavirus das Herz stillstehen lassen;https://www.watson.ch/spass/bilderwelten/736222810-coronavirus-15-bilder-die-ploetzlich-gefaehrlich-scheinen
Deutschschweiz vs. Romandie im Mundart-Quiz – welche dieser Wörter kennst du?;https://www.watson.ch/schweiz/videos/876250177-deutschschweiz-vs-romandie-schweizer-woerter-im-mundart-quiz
Wie viel Chuck Norris steckt in dir? Wer 0 Prozent hat, kriegt 1 Roundhouse-Kick!;https://www.watson.ch/spass/leben/642665942-quiz-finde-heraus-wie-viel-prozent-chuck-norris-in-dir-steckt
Ein bisschen Ablenkung gefällig? Hier kommen die 22 lustigsten Fails der Woche;https://www.watson.ch/spass/fail-dienstag/374181815-ablenkung-gefaellig-hier-kommen-die-22-lustigsten-fails-der-woche
Chuck Norris wird 80. Nur seine Witze sind noch älter. Doch sie sind wie Wein;https://www.watson.ch/spass/people-news/776132513-chuck-norris-80-witze-wie-wein-je-aelter-desto-besser
15 GIFs, die dir auf seltsame Art und Weise inneren Frieden schenken;https://www.watson.ch/spass/best%20of%20watson/763243784-15-schraege-gifs-die-dich-auf-seltsame-weise-befriedigen-werden
QDH: Schlägst du unsere hellste Kerze der Redaktion?;https://www.watson.ch/wissen/spass/667911014-qdh-schlaegst-du-unsere-hellste-kerze-der-redaktion
Diese Pandemie-Blockbuster feiern wegen des Coronavirus ein unerwartetes Comeback;https://www.watson.ch/spass/international/736589746-coronavirus-diese-pandemie-blockbuster-feiern-gerade-ein-comeback
15 Leute (und 2 Hunde), die nach ihrer Diät kaum wiederzuerkennen sind;https://www.watson.ch/spass/people/727607902-15-leute-und-2-hunde-die-nach-ihrer-diaet-kaum-wiederzuerkennen-sind
Diese 10 Steuererklärungs-Typen kommen dir sicher bekannt vor;https://www.watson.ch/videos/spass/684569415-steuererklaerung-diese-10-typen-kommen-dir-sicher-bekannt-vor
Lustige GIFs, freche Bilder und ein kunterbunter Vogel;https://www.watson.ch/spass/cute%20news/276465142-lustige-gifs-freche-bilder-und-ein-kunterbunter-vogel
Über diese Corona-Memes lacht das Netz;https://www.watson.ch/spass/coronavirus/582564958-ein-bisschen-spass-muss-auch-sein-ueber-diese-corona-memes-lacht-das-netz
«Schwanger-Sein ist wie Corona, nur mit Folgen» – Schwangere sind beim Chef untendurch;https://www.watson.ch/videos/spass/514188613-schwangerschaft-ist-fuer-den-chef-wie-eine-epidemie
Klicke hier, wenn du KEINEN Corona-Artikel lesen willst: PICDUMP!;https://www.watson.ch/spass/picdump/462574220-picdump-312-hier-kommen-die-lustigsten-memes-bilder-aus-dem-internet
24 Leute, die die Sicherheit nicht ganz so ernst nehmen, wie sie sollten 😲;https://www.watson.ch/spass/gerechtigkeit%20siegt/522740459-24-leute-die-die-sicherheit-nicht-ganz-so-ernst-nehmen-wie-sie-sollten
Die 21 lustigsten Fails, um dich daran zu erinnern, dass du Fails liebst;https://www.watson.ch/spass/fail-dienstag/635802812-die-21-lustigsten-fails-um-dich-daran-zu-erinnern-dass-du-fails-liebst
16 Studenten-Memes, die so wahr sind, dass es wehtut;https://www.watson.ch/spass/native/252320199-16-studenten-memes-die-so-wahr-sind-dass-es-wehtut
QDH: Mitfiebern und Husten erlaubt!;https://www.watson.ch/wissen/spass/840546499-qdh-mitfiebern-und-husten-erlaubt
10 Spiele, auf die ich mich jetzt so richtig freue;https://www.watson.ch/spass/leben/374256113-10-spiele-auf-die-ich-mich-jetzt-so-richtig-freue
Was, wenn die Autos von heute anno dazumal designt worden wären?;https://www.watson.ch/leben/spass/355634103-design-so-saehen-autos-von-heute-anno-dazumal-aus
9 1/2 Elterntypen, die mich (manchmal) nerven;https://www.watson.ch/spass/blogs/549378383-ein-berner-lehrer-verraet-welche-9-1-2-elterntypen-am-meisten-nerven
Fehldiagnose gefällig? 19 Gesundheitstipps vom schlechtesten Arzt der Welt;https://www.watson.ch/spass/social%20media/164279050-diese-19-gesundheitstipps-solltest-du-auf-keinen-fall-befolgen
Wie isst DU deine Spaghetti? Hier kommen 12 Wege, von italienisch bis ... absurd;https://www.watson.ch/spass/world%20of%20watson/533349853-wie-isst-du-deine-spaghetti-hier-kommen-12-wege-von-italienisch-bis-absurd
100 Prozent wundertolle Tier-GIFs – und sonst nichts;https://www.watson.ch/spass/cute%20news/266340671-100-prozent-wundertolle-lustige-tier-gifs-und-sonst-nichts
20 Jahre nach «Moi ... Lolita» – was wurde eigentlich aus Alizée?;https://www.watson.ch/spass/leben/555376067-20-jahre-nach-moi-lolita-was-wurde-eigentlich-aus-alizee
Was ist das für ein Bi– ah, PICDUMP, okay 🙃;https://www.watson.ch/spass/picdump/256923798-picdump-311-hier-kommen-die-lustigsten-memes-bilder-aus-dem-internet
